Name,Price,Status,Size,Qty,OriginalPrice,Link,Img
Standard Ironing Board Cover Gray - Room Essentials,6.00,Available,Standard,1,$10.00,https://www.target.com/p/standard-ironing-board-cover-gray-room-essentials-8482/-/A-87215417#lnk=sametab,images/IMG_8507.jpeg
10-Cup Food Processor (Hamilton Beach),30,Available,10-Cup,1,$54.99,https://hamiltonbeach.com/10-cup-food-processor-70730,#
KitchenAid Artisan Series 5 Quart Tilt Head Stand Mixer,270.00,Available,5-Quart,1,$449.99,https://www.wayfair.com/kitchen-tabletop/pdp/kitchenaid-classic-series-45-quart-tilt-head-stand-mixer-kad1445.html?piid=33371416,images/stock_kitchenaid.jpeg
Ninja Pods Coffee Maker,50.00,Available,Single-Serve,1,$80.00,https://www.amazon.com/Ninja-Grounds-Single-Serve-Coffee-Maker/dp/B0F9LKMSZM?th=1,images/stock_ninja.jpeg
UPPDATERA Flatware tray,20.00,Available,"15x19 ½ """,1,$34.99,https://www.ikea.com/us/en/p/uppdatera-flatware-tray-light-bamboo-20491356/,images/stock_uppdatera.jpeg
Ultra-Thin Outlet Cover (Sleek Socket),15,Available,Dual Outlet,1,$23.95,https://sleeksocket.com/products/sleek-socket-standard,#
Artificial Palm Leaves (IKEA FEJKA Set),15,Available,Set of 3,1,$29.99,https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-with-pot-indoor-outdoor-palm-00433942/,#
HEMNES Mirror Cabinet (IKEA),50,Available,60x103 cm,1,$120.00,https://www.ikea.com/us/en/p/hemnes-mirror-cabinet-with-2-doors-white-40217677/,#
KALLAX Shelf Unit (IKEA),40,Available,2x3 Cube,1,$79.00,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-20275814/,#
LACK Side Table (IKEA),15,Available,55x55 cm,1,$19.99,https://www.ikea.com/us/en/p/lack-side-table-white-30449908/,#
MALM 6-Drawer Dresser (IKEA),120,Available,160x78 cm,1,$249.00,https://www.ikea.com/us/en/p/malm-6-drawer-dresser-white-30360468/,#
LILLANGEN Cabinet (IKEA),30,Available,Slim Profile,1,$80.00,https://www.ikea.com/us/en/p/lillaangen-mirror-cabinet-with-1-door-white-80205168/,#
SKADIS Pegboard Set (IKEA),10,Available,Mixed Lot,1,$25.00,https://www.ikea.com/us/en/p/skaadis-pegboard-white-10321618/,#
FIXA 17-piece Tool Set (IKEA),5,Available,Basic Set,1,$9.99,https://www.ikea.com/us/en/p/fixa-17-piece-tool-set-00169254/,#
VARIERA Shelf Insert (IKEA),3,Available,Small,1,$5.99,https://www.ikea.com/us/en/p/variera-shelf-insert-white-60136623/,#
BEKVAM Spice Rack (IKEA),5,Available,Wood,1,$6.99,https://www.ikea.com/us/en/p/bekvaem-spice-rack-aspen-20487175/,#
"VISSLAÅN Drawer organizers, set of 3",4.00,Available,3-pack,1,$6.99,https://www.ikea.com/us/en/p/visslaan-drawer-organizers-set-of-3-gray-20562117/,images/stock_visslaan_3.jpeg
KNAGGLIG Pine Crate (IKEA),8,Available,23x31x15 cm,1,$14.99,https://www.ikea.com/us/en/p/knagglig-box-pine-10292357/,#
PRUTA Food Container Set (IKEA),5,Available,17-piece set,1,$9.99,https://www.ikea.com/us/en/p/pruta-food-container-set-of-17-transparent-green-60149673/,#
FEJKA Hanging Plant (IKEA),5,Available,Artificial,1,$9.99,https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-indoor-outdoor-hanging-ceropegia-woodii-80433943/,#
SIGNUM Cable Management (IKEA),8,Available,Horizontal,1,$15.00,https://www.ikea.com/us/en/p/signum-cable-management-horizontal-silver-color-30200253/,#
MONTERA Cable Strips (IKEA),2,Available,Pack of 10,1,$5.00,https://www.ikea.com/us/en/p/montera-cable-organizer-white-30472649/,#
TAVELAN Bamboo Tray Set (IKEA),8,Available,Set of 2,1,$13.99,https://www.ikea.com/us/en/p/tavelan-tray-set-of-2-bamboo-50465191/,#
FADO Globe Lamp (IKEA),15,Available,25 cm,1,$29.99,https://www.ikea.com/us/en/p/fado-table-lamp-with-led-bulb-white-00356312/,#
Shark Air Purifier,60,Available,HEPA,1,$129.99,https://www.sharkclean.com/products/shark-air-purifier-4-fan-with-anti-allergen-multi-filter-technology-zidHE402,#
JALL Laundry Bag (IKEA),4,Available,70L,1,$8.99,https://www.ikea.com/us/en/p/jaell-laundry-bag-with-stand-white-70118968/,#
Kitchen Utensil Lot,15,Available,Mixed Lot,1,$35.00,https://www.ikea.com/us/en/cat/kitchen-utensils-accessories-15925/,#
"BOLLÖSUND Drawer organizers, set of 4, beige",10.00,Available,Set of 4,1,$17.00,https://www.ikea.com/us/en/p/bolloesund-drawer-organizers-set-of-4-beige-20570886/,images/stock_bollosund.jpeg
"VISSLAÅN Box with compartments, gray",10.00,Available,"12 ¾x12 ¼x3 ¼ """,1,$17.00,https://www.ikea.com/us/en/p/visslaan-box-with-compartments-gray-00562104/,images/stock_visslaan_comp.jpeg
"VISSLAÅN Box with lid, set of 5, gray",8.00,Available,Set of 5,1,$14.00,https://www.ikea.com/us/en/p/visslaan-box-with-lid-set-of-5-gray-90554538/,images/stock_visslaan_5.jpeg
Artificial Hanging Plants (COCOBOO),15.00,Available,Hanging,1,$25.00,https://www.amazon.com/COCOBOO-Artificial-Hanging-Eucalyptus-Decoration/dp/B0995XGVHW?th=1,#
Blueair Blue Pure 411i Max,100.00,Available,Air Purifier,1,$169.99,https://www.blueair.com/us/air-purifiers/blue-pure-411i-max/3414.html,images/IMG_8512.jpeg
Large Framed City Art,30.00,Available,Cityscape,1,$49.00,#,images/IMG_8499.jpeg
3-Bag Laundry Sorter,20.00,Available,White frame,1,$35.00,#,images/IMG_8512.jpeg
Joseph Joseph Nesting Bowls,30.00,Available,9-piece set,1,$50.00,https://www.josephjoseph.com/products/nesting-bowls,images/IMG_8512.jpeg
