Name,Subname,Price,Condition,OriginalPrice,Status,Size,Dimensions,Height,Qty,Link,Img,Phone
Ironing Board Cover,Gray - Room Essentials,1.0,Brand New,$10.00,Available,Standard,"56"" x 18.5""",0.15,1,https://www.target.com/p/standard-ironing-board-cover-gray-room-essentials-8482/-/A-87215417#lnk=sametab,images/IMG_8043.jpeg,8323821675
KitchenAid Classic Series 4.5 Stand Mixer,5 Quart,100.0,Used Once - No box,$449.99,Sold,5-Quart,"14.1"" x 8.7""",13.9,1,https://www.wayfair.com/kitchen-tabletop/pdp/kitchenaid-classic-series-45-quart-tilt-head-stand-mixer-kad1445.html?piid=33371416,images/IMG_8501.jpeg,8323821675
Ninja Pods Coffee Maker,PB051,40.0,Brand New - No box,$80.00,Available,Single-Serve,"13.07"" x 5.51""",13.31,1,https://www.amazon.com/Ninja-Grounds-Single-Serve-Coffee-Maker/dp/B0F9LKMSZM?th=1,images/IMG_8502.jpeg,8323821675
Bamboo Flatware Tray,Light Bamboo,10.0,Brand New - No box,$34.99,Available,"15x19 ½""","15"" x 19.5""",2,1,https://www.ikea.com/us/en/p/uppdatera-flatware-tray-light-bamboo-20491356/,images/IMG_8505.jpeg,8323821675
Dark Gray Drawer Organizers,"Set of 3, Gray",4.0,Brand New - with box,$6.99,Available,3-pack,"6.75"" x 4.75""",4,1,https://www.ikea.com/us/en/p/visslaan-drawer-organizers-set-of-3-gray-20562117/,images/IMG_8038.jpeg,8323821675
FEJKA Artificial Potted Plant,Hanging Eucalyptus,5.0,Brand New - No box,$9.99,Available,Artificial,"3.5"" (Diameter)",22.75,1,https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-indoor-outdoor-hanging-eucalyptus-00615249/,images/IMG_8504.jpeg,8323821675
TAVELÅN Tray Set,Bamboo,8.0,Brand New - No box,$13.99,Available,Set of 2,"11.875"" x 5.75"" & 5.125"" x 5.75""",3.375,1,https://www.ikea.com/us/en/p/tavelan-tray-set-of-2-bamboo-50465191/,images/IMG_8046.jpeg,8323821675
NÖDMAST LED Portable Lamp,White/Black,5.0,Used Once - No box,$10.99,Sold,25 cm,"7"" (Diameter)",10.25,1,https://www.ikea.com/us/en/p/noedmast-led-portable-lamp-battery-operated-white-black-50582576/#content,images/IMG_8507.jpeg,8323821675
BOLLÖSUND Drawer Organizers,"Set of 4, Beige",10.0,Brand New - with box,$17.00,Available,Set of 4,Various,3,1,https://www.ikea.com/us/en/p/bolloesund-drawer-organizers-set-of-4-beige-20570886/,images/IMG_8049.jpeg,8323821675
VISSLAÅN Box with Compartments,Gray,10.0,Brand New - with box,$17.00,Available,"12 ¾x12 ¼x3 ¼""","12.75"" x 12.25""",3.25,1,https://www.ikea.com/us/en/p/visslaan-box-with-compartments-gray-00562104/,images/IMG_8039.jpeg,8323821675
VISSLAÅN Box with Lid,"Set of 5, Gray",8.0,Brand New - with box,$14.00,Available,Set of 5,Various,3.5,1,https://www.ikea.com/us/en/p/visslaan-box-with-lid-set-of-5-gray-90554538/,images/IMG_8039.jpeg,8323821675
Potted Areca Palm Plant,6',35.0,Brand New - No box,$80.00,Sold,6 feet,N/A,72,2,https://www.athome.com/potted-areca-palm-plant-6/124351622.html,images/IMG_2553.jpeg,8323821675
Simple Bamboo Desk,,10.0,Brand New - No box,$40.00,Available,Standard,"35"" x 23""",29,1,https://us.amazon.com/Niche-Student-Desk-Shell-Latte/dp/B08QTWCQDC,images/IMG_2592.jpeg,8323821675
Hudson Clear Storage Bins,,4.25,Like New,$16.99,Available,,"13""x10""x7.5""",,14,https://www.biglots.com/c/home-storage-organization/baskets-bins-totes/_/N-2751515904,images/IMG_8167.jpeg,8323821675
Metal Wire Bins w/ Wood Base,,3.5,Like New,$13.99,Available,,"14""x11""x9""",,5,https://www.biglots.com/c/home-storage-organization/baskets-bins-totes/_/N-2751515904,images/IMG_8171.jpeg,8323821675
Big Lots Acrylic Bins,,1.25,Like New,$4.99,Available,,,,3,https://www.biglots.com/c/home-storage-organization/drawer-organizers-trays/_/N-2321528615,images/IMG_8196_big_lots_bin.jpeg,8323821675
Clear Corner Shelves,,1.25,Like New,$5.00,Available,,"11""x11""",,8,https://www.fivebelow.com/products/corner-wall-shelf-1525in,images/IMG_8172.jpeg,8323821675
Wood Grain Corner Shelves,,1.25,Like New,$5.00,Available,,"11""x11""",,2,https://www.fivebelow.com/products/corner-wall-shelf-1525in,images/IMG_8173_1_2.jpeg,8323821675
White Corner Shelves,,1.25,Like New,$5.00,Available,,"11""x11""",,3,https://www.fivebelow.com/products/corner-wall-shelf-1525in,images/IMG_8175_1.jpeg,8323821675
Floating Wall Shelves,,1.25,Like New,$5.00,Available,,"18""x4""",,9,https://www.fivebelow.com/products/floating-wall-shelf-18in,images/IMG_8179.jpeg,8323821675
Clear Letter File Storage Cases,,10.0,Like New,$39.99,Available,,"13.3""x7""x11""",,6,https://www.michaels.com/product/clear-letter-file-storage-case-with-top-handle-by-simply-tidy-D285226S,images/IMG_8195_file_case.jpeg,8323821675
Bead Landing 36-Compartment Divided Trays,,11.25,Like New,$44.99,Available,,"13.6""x9.3""x1.8""",,2,https://www.michaels.com/product/136-clear-36compartment-divided-tray-with-lid-by-bead-landing-10713934,images/IMG_8200.jpeg,8323821675
Simply Tidy Storage Bins w/ Handles,,7.5,Like New,$29.99,Available,,"13""x6.5""x8""",,3,https://www.michaels.com/product/13-x-65-clear-storage-bin-with-handles-by-simply-tidy-10738096,images/IMG_8184.jpeg,8323821675
Simply Tidy Storage Trays,"12"" x 4"" x 2""",1.75,Like New,$6.99,Available,,"12""x4""x2""",,4,https://www.michaels.com/product/12-x-4-clear-stacking-storage-tray-by-simply-tidy-10738088,images/IMG_8180_1.jpeg,8323821675
Simply Tidy Storage Trays,"12"" x 8"" x 2""",2.25,Like New,$8.99,Available,,"12""x8""x2""",,3,https://www.michaels.com/product/12-x-8-clear-stacking-storage-tray-by-simply-tidy-10738090,images/IMG_8182.jpeg,8323821675
Simply Tidy Storage Trays,"8"" x 4"" x 2""",1.25,Like New,$4.99,Available,,"8""x4""x2""",,4,https://www.michaels.com/product/8-x-4-clear-stacking-storage-tray-by-simply-tidy-10738086,images/IMG_8181_tray_8x4.jpeg,8323821675
Simply Tidy Storage Trays,"4"" x 4"" x 2""",0.75,Like New,$2.99,Available,,"4""x4""x2""",,3,https://www.michaels.com/product/4-x-4-clear-stacking-storage-tray-by-simply-tidy-10738084,images/IMG_8183.jpeg,8323821675
Simply Tidy Large Storage Bins,,10.0,Like New,$39.99,Available,,"13""x13""x8""",,6,https://www.michaels.com/product/13-x-13-clear-storage-bin-with-handles-by-simply-tidy-10738098,images/IMG_8169_large_bin.jpeg,8323821675
Bead Landing 6–12 Divided Trays,,5.0,Like New,$19.99,Available,,"8""x10""x1.8""",,2,https://www.michaels.com/product/6-pack-136-clear-12-compartment-divided-tray-with-lid-by-bead-landing-10665790,images/IMG_8192.jpeg,8323821675
Studio Décor Front-Loading Minifigure Cases,,10.0,Like New,$39.99,Available,,"12.8""x16""",,2,https://www.michaels.com/product/clear-front-loading-mini-figure-shadow-box-with-shelves-by-studio-decor-D476044S,images/IMG_8191.jpeg,8323821675
Gourmet Glass Canisters (Small 21.9 oz 2-pk),,1.75,Like New,$6.99,Available,21.9 oz,2-pack,,3,https://www.homegoods.com,images/IMG_8188.jpeg,8323821675
Gourmet Glass Canisters (Large 33.8 oz 2-pk),,2.25,Like New,$8.99,Available,33.8 oz,2-pack,,2,https://www.homegoods.com,images/IMG_8189.jpeg,8323821675
MasterChef Bamboo Cutlery Organizers,,5.0,Like New,$19.99,Available,,Expandable,,2,https://www.target.com/p/expandable-bamboo-cutlery-tray-brightroom-8482/-/A-85318301,images/IMG_8186.jpeg,8323821675
Bamboo Expandable Spice Racks,,5.0,Like New,$19.99,Available,,Expandable,,2,https://www.target.com/p/expandable-bamboo-spice-rack-brightroom-8482/-/A-85318301,images/IMG_8185.jpeg,8323821675
Bamboo 3-Tier Step Risers,,3.25,Like New,$12.99,Available,,3-Tier,,2,https://www.thecontainerstore.com/s/kitchen/cabinet-organizers/3-tier-bamboo-expanding-spice-shelf/12d?productId=11000844,images/IMG_8187.jpeg,8323821675
Acrylic 3-Tier Display Steps,,3.0,Like New,$12.00,Available,,3-Tier,,3,https://www.thecontainerstore.com/s/kitchen/cabinet-organizers/clear-3-tier-expanding-organizer/12d?productId=11018868,images/IMG_8193.jpeg,8323821675
Acrylic Pull-Out Storage Bins,,3.25,Like New,$12.99,Available,,Pull-Out,,5,https://www.thecontainerstore.com/s/storage/drawers/the-home-edit-by-idesign-drawer-organizers/12d?productId=11012901,images/IMG_8194.jpeg,8323821675
Acrylic Apothecary Jars,,1.0,Like New,$4.00,Available,,Canister w/ Lid,,4,https://www.target.com/p/medium-plastic-canister-with-bamboo-lid-brightroom-8482/-/A-85318301,images/IMG_8190.jpeg,8323821675
2-Tier Sliding Drawer Vanity Organizer,,3.75,Like New,$14.99,Available,,2-Tier Sliding,,2,https://www.target.com/p/two-tiered-slide-out-organizer-brightroom/-/A-83717158,images/IMG_8177_1.jpeg,8323821675
